Scenario: equal_weights : description: Equal weoights for both families, a good car is a good car, no matter if you are a dad or a FF fan
Dacia Sandero 3,Citroen C3 IV,Toyota Yaris,Toyota Yaris Cross,Tesla Model Y
1,0.7166666666666666,0.6333333333333333,0.5666666666666667,0.25
0.8333333333333333,1,0.8166666666666665,0.8333333333333333,0.25
0.9166666666666665,0.8166666666666665,1,0.9166666666666665,0.3333333333333333
0.8166666666666665,0.7166666666666666,0.8166666666666665,1,0.41666666666666663
0.8333333333333333,0.9166666666666665,0.8333333333333333,0.8333333333333333,1

Scenario: pere_de_famille_higher_weight : description: A good dad always takes core of its family, a good car i s the cornerstone, so relaiable and affordable any dad might buy it no questions asked
Dacia Sandero 3,Citroen C3 IV,Toyota Yaris,Toyota Yaris Cross,Tesla Model Y
1,0.7633333333333334,0.6466666666666667,0.47333333333333333,0.35
0.7666666666666668,1,0.8233333333333335,0.7666666666666668,0.35
0.8833333333333335,0.8233333333333335,1,0.8833333333333335,0.4666666666666666
0.8233333333333335,0.7633333333333334,0.8233333333333335,1,0.5833333333333333
0.7666666666666668,0.8833333333333335,0.7666666666666668,0.7666666666666668,1

Scenario: toreto_higher_weight : description: Nothing is more important than family kind of guy
Dacia Sandero 3,Citroen C3 IV,Toyota Yaris,Toyota Yaris Cross,Tesla Model Y
1,0.6699999999999999,0.62,0.66,0.15
0.9,1,0.8099999999999999,0.9,0.15
0.95,0.8099999999999999,1,0.95,0.19999999999999998
0.8099999999999999,0.6699999999999999,0.8099999999999999,1,0.24999999999999997
0.9,0.95,0.9,0.9,1

